Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name
S28865700001,11/09/2015,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,"1422 FLAMMANG DR
WATERLOO 50702
(42.459938, -92.327917)",7,Black Hawk,1701100,DECANTERS & SPECIALTY PACKAGES
S29339300091,11/30/2015,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,"522 MULBERRY, SUITE A
MUSCATINE 52761
",70,Muscatine,1701100,DECANTERS & SPECIALTY PACKAGES
S28866900001,11/11/2015,3650,"Spirits, Stogies and Stuff",118 South Main St.,HOLSTEIN,51025,"118 South Main St.
HOLSTEIN 51025
(42.490073, -95.544793)",47,Ida,1701100,DECANTERS & SPECIALTY PACKAGES
S29134300126,11/18/2015,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,"1023 9TH ST
ONAWA 51040
(42.025841, -96.095845)",67,Monona,1081200,CREAM LIQUEURS
S29282800048,11/23/2015,2642,Hy-Vee Wine and Spirits / Pella,512 E OSKALOOSA,PELLA,50219,"512 E OSKALOOSA
PELLA 50219
(41.397023, -92.899722)",63,Marion,1701100,DECANTERS & SPECIALTY PACKAGES
S28867000001,11/04/2015,3842,Bancroft Liquor Store,107 N PORTLAND ST PO BX 222,BANCROFT,50517,"107 N PORTLAND ST PO BX 222
BANCROFT 50517
(43.29355, -94.218)",55,Kossuth,1701100,DECANTERS & SPECIALTY PACKAGES
S28865800001,11/09/2015,2539,Hy-Vee Food Store / iowa Falls,HIGHWAY 65 SOUTH,IOWA FALLS,50126,"HIGHWAY 65 SOUTH
IOWA FALLS 50126
",42,Hardin,1701100,DECANTERS & SPECIALTY PACKAGES
S28867100001,11/09/2015,4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,"1324, 1st AVE E
NEWTON 50208
(41.699173, -93.035654)",50,Jasper,1701100,DECANTERS & SPECIALTY PACKAGES
S29191200001,11/19/2015,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586319, -93.664182)",77,Polk,1701100,DECANTERS & SPECIALTY PACKAGES
S29137200001,11/18/2015,2566,Hy-Vee Food Store / Knoxville,813 N LINCOLN STE 1,KNOXVILLE,50138,"813 N LINCOLN STE 1
KNOXVILLE 50138
(41.325428, -93.109494)",63,Marion,1701100,DECANTERS & SPECIALTY PACKAGES
